Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial ,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2 ,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV
11/3/2021,desert,RR,AH,netgun:QS,AH67,P1815,,50036,,102,M,8,,103.5,103.8,,,,1,,1,,1,0.13,1,,11:40,"11""52",12,,,,,bcs= 2.75,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH68,P1589,NONE,,,55,M,1,,104.6,104.7,,,,1,,1,,1,0.06,1,,12:05,12:16:00,11,,,,,BCS=2.75,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH69,P1577,,49938,,47,F,1,,105.7,105.5,,,,1,,1,,1,0.48,1,,12:46,12:58,12,,,,,BCS=4,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH70,P1587,NONE,,,54,M,1,,105.5,105.3,,,,1,,1,,1,0.1,1,,13:10,13:25,15,,,,,BCS=3.5,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH71,P1596,,49948,,60,F,6,,103.8,103.5,,,,1,,1,,1,1,1,,12:05,12:15,10,,,,,BCS=5.5,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH72,P1573,,50029,,100,M,10,,104.5,104.5,,,,1,,1,,1,,1,,12:25,21:36,11,,,,,BCS=2,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH73,P1590,,50033,,97,M,6,,103.8,103.8,,,,1,,1,,1,0.14,1,,13:10,13:20,10,,,,,BCS=3,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH28,P1803,,50035,,59,F,5+,,103.9,104.5,,,,,,,,,0.47,,1,,,,,,,,bc=4,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH29,P1552,,49998,,47,F,1,,103.2,104.3,105,105,,1,,1,,1,,1,na,810,821,,,,,,ICE WATER,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH30,P1801,,49985,,60,F,4+,,103.8,103.1,,103.8,,1,,1,,1,0,,0,,,,,,,,BCS=2.5,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH31,Y564,,50007,,62,F,6+,,105,106,106.1,106.1,,1,,1,,1,,,,831,840,9,,,,,"ENEMA, BANAMINE, RECAP",,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH32,P1555,,49961,,70,F,4+,,105,105,,105,,1,,1,,1,,,1,902,911,9,,,,,BANAMINE,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH33,P1554,,49962,,58,F,4,,103.5,103.6,103.7,103.7,,1,,1,,1,,1,1,902,912,10,,,,,,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH34,P1556,,49965,,57,F,6,,104.3,103.8,103.3,104.3,,1,,1,,1,0.19,1,1,930,940,10,,,,,,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH35,P1558,,49963,,56,F,1,,107.4,,,107.4,,1,,1,,1,0.24,1,0,947,957,10,,,,,BCS=3; BANAMINE,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH36,P1557,,49986,,46,F,2,,105.3,105.6,105.7,105.7,,1,,1,,1,,,,929,938,9,,,,,ENEMA ADMINISTERED,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH37,P1805,,49966,,44,F,1,,104.9,104.8,104.5,,,1,,1,,1,0.14,,0,1003,1015,12,,,,,BCS=3,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH38,G585,,49993,,56,F,8+,,102.2,102.2,,,,1,,1,,1,0.18,1,0,1045,1055,10,,,,,"BCS 3; ORNERY IN TRAILER, BROKEN HORNS, RECAP",,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH39,P1804,,49984,,54,F,5+,,104,104.3,104.2,104.3,,1,,1,,1,0.31,,0,1046,1100,14,,,,,BCS=3.5; LOSING TEETH NATURALLY,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH40,P1819,,49997,,49,F,2,,104.5,105.1,105.1,105.1,,1,,1,,1,0.16,,,1115,1125,10,,,,,bcs=3,,,,,,,,
