AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2,
2020-04,2020-17120,12/22/2020,1/13/2022,0,0,-7.226,NA,Hunter Harvest,NA,NA,NA,NA,SA,NA,M,NA,NA,NA,NA,NA,
2020-05,2020-17120,12/22/2020,1/13/2022,0,1,86.382,NA,Hunter Harvest,NA,NA,NA,NA,SA,NA,M,NA,NA,NA,NA,NA,
2020-06,2020-17120,12/22/2020,1/13/2022,0,1,79.668,NA,Hunter Harvest,NA,NA,NA,NA,SA,NA,M,NA,NA,NA,NA,NA,
2020-112,20-25610,9/18/2020,10/9/2020,0,1,67.807,NA,Hunter Harvest,NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2020-119-Wesley Cox,20-27698,10/16/2020,11/4/2020,0,1,50.729,NA,Hunter Harvest,NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
V22-25323-1128,W222380049,8/26/2022,9/6/2022,0,0,-29.01,NA,Hunter Harvest,NA,NA,NA,NA,PEC,NA,M,12,NA,NA,NA,NA,
V22-25324-1115,W222380049,8/26/2022,9/6/2022,1,1,76.12,NA,Hunter Harvest,NA,NA,NA,NA,WH,NA,M,7,NA,NA,NA,NA,
V22-25325-1059,W222380049,8/26/2022,9/6/2022,0,0,-28.64,NA,Hunter Harvest,NA,NA,NA,NA,PEC,NA,M,7,NA,NA,NA,NA,
V22-25326-0990,W222380049,8/26/2022,9/6/2022,NA,0,-23.11,NA,"Hunter Harvest, Swabs and blood placed in wrong tube, no PCR result in Report",NA,NA,NA,NA,PEC,NA,M,13,NA,NA,NA,NA,
V22-25327-1118,W222380049,8/26/2022,9/6/2022,0,0,-38.38,NA,Hunter Harvest,NA,NA,NA,NA,PEC,NA,M,11,NA,NA,NA,NA,
V22-25328-0923,W222380049,8/26/2022,9/6/2022,1,1,82.3,NA,Hunter Harvest,NA,NA,NA,NA,WH,NA,M,11,NA,NA,NA,NA,
V22-25329-1067,W222380049,8/26/2022,9/6/2022,NA,1,80.33,NA,"Hunter Harvest, No PCR Result in Report",NA,NA,NA,NA,LA,NA,M,13,NA,NA,NA,NA,
V22-25330-1095,W222380049,8/26/2022,9/6/2022,0,NA,NA,NA,"Hunter Harvest, No ELISA Result in Report",NA,NA,NA,NA,PEC,NA,M,9,NA,NA,NA,NA,
V23-0868-1069,W230240027,1/24/2023,2/3/2023,1,1,80.92,NA,Hunter Harvest,NA,NA,NA,NA,CU,NA,M,5,NA,NA,NA,NA,
2018-20,2018-2875,3/7/2018,3/14/2018,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,FC,NA,M,10,NA,NA,NA,NA,Pooled ram sample?
2018-21,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-22,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-23,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-24,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-25,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-26,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-27,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-28,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-29,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-30,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-31,18-06960,3/8/2018,3/19/2018,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,RGG,NA,F,NA,NA,NA,NA,NA,
2018-40,18-07085,3/9/2018,5/23/2018,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,FC,NA,M,6,NA,NA,NA,NA,
