AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2
2018-20,2018-2875,2018-03-07,2018-03-14,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-21,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-22,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-23,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-24,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-25,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-26,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-27,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-28,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-29,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-30,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-31,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-40,18-07085,2018-03-09,2018-05-23,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
