Herd,Est,Year,Month,Lambs,Status,Area,Subspec,MonthNum,YearMonth,Timeline,PrePart_Precip,Recovery_Precip,PostPart_Precip,PrePart_Temp,Recovery_Temp,PostPart_Temp,PrevLamb_Precip,PrevLamb_Temp
WH,238,2015,7,NA,NA,419.9224446317383,Rocky,07,201507,6,312.0764274597168,176.40036315917968,218.37413177490234,-0.063596976796786,3.4184194087982176,11.206099319458007,232.19809684753417,10.87480017344157
WH,252,2016,7,51,Pre,419.9224446317383,Rocky,07,201607,6,196.60451107025148,222.65272254943847,203.58330192565919,-0.37726879517237344,3.492262538274129,11.721676699320476,218.37413177490234,11.206099319458007
WH,252,2017,8,39,Pre,419.9224446317383,Rocky,08,201708,6,279.59225006103514,152.6859302520752,284.46939640045167,1.032452121997873,4.452308500806491,12.087956364949545,203.58330192565919,11.721676699320476
WH,252,2018,7,41,Pre,419.9224446317383,Rocky,07,201807,6,97.32023773193359,192.01664543151855,178.77661190032958,1.8954278906186421,4.639607548713684,13.097953097025554,284.46939640045167,12.087956364949545
WH,282,2019,7,15,Pre,419.9224446317383,Rocky,07,201907,6,357.0794311523438,196.89720993041993,153.95180625915526,-0.5676878040656448,2.7622852007548016,11.849161720275879,178.77661190032958,13.097953097025554
WH,252,2022,7,14,Post,419.9224446317383,Rocky,07,202207,6,200.21300926208497,129.09503059387208,345.9222244262695,1.366868249575297,5.106724460919698,11.716074816385905,257.8448226928711,11.85142453511556
SFR,50,2000,10,67,Pre,1789.406611911474,Rocky,10,200010,5,45.15767269692151,205.37159286211391,79.88567142486572,10.270217831929525,18.946108293533324,22.562304751078287,144.41316668312066,19.96742639541626
SFR,65,2001,11,50,Pre,1789.406611911474,Rocky,11,200111,5,78.55535306930543,251.1843798160553,135.93095717430114,8.759167738755544,19.20405427614848,21.306684446334838,79.88567142486572,22.562304751078287
SFR,75,2002,10,56,Pre,1789.406611911474,Rocky,10,200210,5,22.644564044475555,111.69910356998443,92.2342769062394,9.896260325113932,19.485471137364705,22.091466744740803,135.93095717430114,21.306684446334838
SFR,85,2003,10,50,Pre,1789.406611911474,Rocky,10,200310,5,108.05550518035889,198.87835769653321,53.98025171756744,8.509362816810608,18.730217027664185,21.847801065444948,92.2342769062394,22.091466744740803
